Model,DPO4034
Firmware Version,2.68

Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Point Format,Y,,Point Format,Y,,Point Format,Y
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Horizontal Scale,2e-06,,Horizontal Scale,4e-06,,Horizontal Scale,4e-06
Horizontal Delay,-3.2e-07,,Horizontal Delay,0,,Horizontal Delay,0
Sample Interval,2e-09,,Sample Interval,4e-09,,Sample Interval,4e-09
Record Length,10000,,Record Length,10000,,Record Length,10000
Gating,0.0% to 100.0%,,Gating,0.0% to 100.0%,,Gating,0.0% to 100.0%
Probe Attenuation,1,,Probe Attenuation,1,,Probe Attenuation,1
Vertical Units,V,,Vertical Units,V,,Vertical Units,V
Vertical Offset,0,,Vertical Offset,0,,Vertical Offset,0
Vertical Scale,0.1,,Vertical Scale,0.1,,Vertical Scale,0.1
Vertical Position,-0.8,,Vertical Position,0,,Vertical Position,0
,,,,,,,
,,,,,,,
,,,,,,,
Label,,,Label,,,Label,
TIME,CH1,,TIME,REF2,,TIME,REF4
-1.0320e-05,0.184,,-2.0000e-05,nan,,-2.0000e-05,nan
-1.0318e-05,0.188,,-1.9996e-05,nan,,-1.9996e-05,nan
-1.0316e-05,0.176,,-1.9992e-05,nan,,-1.9992e-05,nan
-1.0314e-05,0.184,,-1.9988e-05,nan,,-1.9988e-05,nan
-1.0312e-05,0.176,,-1.9984e-05,nan,,-1.9984e-05,nan
-1.0310e-05,0.18,,-1.9980e-05,nan,,-1.9980e-05,nan
-1.0308e-05,0.18,,-1.9976e-05,nan,,-1.9976e-05,nan
-1.0306e-05,0.184,,-1.9972e-05,nan,,-1.9972e-05,nan
-1.0304e-05,0.184,,-1.9968e-05,nan,,-1.9968e-05,nan
-1.0302e-05,0.176,,-1.9964e-05,nan,,-1.9964e-05,nan
-1.0300e-05,0.184,,-1.9960e-05,nan,,-1.9960e-05,nan
-1.0298e-05,0.188,,-1.9956e-05,nan,,-1.9956e-05,nan
-1.0296e-05,0.188,,-1.9952e-05,nan,,-1.9952e-05,nan
-1.0294e-05,0.188,,-1.9948e-05,nan,,-1.9948e-05,nan
-1.0292e-05,0.192,,-1.9944e-05,nan,,-1.9944e-05,nan
-1.0290e-05,0.188,,-1.9940e-05,nan,,-1.9940e-05,nan
-1.0288e-05,0.176,,-1.9936e-05,nan,,-1.9936e-05,nan
-1.0286e-05,0.18,,-1.9932e-05,nan,,-1.9932e-05,nan
-1.0284e-05,0.18,,-1.9928e-05,nan,,-1.9928e-05,nan
-1.0282e-05,0.184,,-1.9924e-05,nan,,-1.9924e-05,nan
-1.0280e-05,0.172,,-1.9920e-05,nan,,-1.9920e-05,nan
-1.0278e-05,0.188,,-1.9916e-05,nan,,-1.9916e-05,nan
-1.0276e-05,0.188,,-1.9912e-05,nan,,-1.9912e-05,nan
-1.0274e-05,0.176,,-1.9908e-05,nan,,-1.9908e-05,nan
-1.0272e-05,0.18,,-1.9904e-05,nan,,-1.9904e-05,nan
-1.0270e-05,0.192,,-1.9900e-05,nan,,-1.9900e-05,nan
-1.0268e-05,0.184,,-1.9896e-05,nan,,-1.9896e-05,nan
-1.0266e-05,0.188,,-1.9892e-05,nan,,-1.9892e-05,nan
-1.0264e-05,0.188,,-1.9888e-05,nan,,-1.9888e-05,nan
-1.0262e-05,0.184,,-1.9884e-05,nan,,-1.9884e-05,nan
-1.0260e-05,0.184,,-1.9880e-05,nan,,-1.9880e-05,nan
-1.0258e-05,0.172,,-1.9876e-05,nan,,-1.9876e-05,nan
-1.0256e-05,0.188,,-1.9872e-05,nan,,-1.9872e-05,nan
-1.0254e-05,0.192,,-1.9868e-05,nan,,-1.9868e-05,nan
-1.0252e-05,0.18,,-1.9864e-05,nan,,-1.9864e-05,nan
-1.0250e-05,0.184,,-1.9860e-05,nan,,-1.9860e-05,nan
-1.0248e-05,0.18,,-1.9856e-05,nan,,-1.9856e-05,nan
-1.0246e-05,0.18,,-1.9852e-05,nan,,-1.9852e-05,nan
-1.0244e-05,0.18,,-1.9848e-05,nan,,-1.9848e-05,nan
-1.0242e-05,0.188,,-1.9844e-05,nan,,-1.9844e-05,nan
-1.0240e-05,0.18,,-1.9840e-05,nan,,-1.9840e-05,nan
-1.0238e-05,0.188,,-1.9836e-05,nan,,-1.9836e-05,nan
-1.0236e-05,0.176,,-1.9832e-05,nan,,-1.9832e-05,nan
-1.0234e-05,0.184,,-1.9828e-05,nan,,-1.9828e-05,nan
-1.0232e-05,0.192,,-1.9824e-05,nan,,-1.9824e-05,nan
-1.0230e-05,0.184,,-1.9820e-05,nan,,-1.9820e-05,nan
-1.0228e-05,0.188,,-1.9816e-05,nan,,-1.9816e-05,nan
-1.0226e-05,0.18,,-1.9812e-05,nan,,-1.9812e-05,nan
-1.0224e-05,0.184,,-1.9808e-05,nan,,-1.9808e-05,nan
-1.0222e-05,0.176,,-1.9804e-05,nan,,-1.9804e-05,nan
-1.0220e-05,0.176,,-1.9800e-05,nan,,-1.9800e-05,nan
-1.0218e-05,0.184,,-1.9796e-05,nan,,-1.9796e-05,nan
-1.0216e-05,0.176,,-1.9792e-05,nan,,-1.9792e-05,nan
-1.0214e-05,0.188,,-1.9788e-05,nan,,-1.9788e-05,nan
-1.0212e-05,0.184,,-1.9784e-05,nan,,-1.9784e-05,nan
-1.0210e-05,0.176,,-1.9780e-05,nan,,-1.9780e-05,nan
-1.0208e-05,0.184,,-1.9776e-05,nan,,-1.9776e-05,nan
-1.0206e-05,0.176,,-1.9772e-05,nan,,-1.9772e-05,nan
-1.0204e-05,0.188,,-1.9768e-05,nan,,-1.9768e-05,nan
-1.0202e-05,0.184,,-1.9764e-05,nan,,-1.9764e-05,nan
-1.0200e-05,0.18,,-1.9760e-05,nan,,-1.9760e-05,nan
-1.0198e-05,0.176,,-1.9756e-05,nan,,-1.9756e-05,nan
-1.0196e-05,0.184,,-1.9752e-05,nan,,-1.9752e-05,nan
-1.0194e-05,0.192,,-1.9748e-05,nan,,-1.9748e-05,nan
-1.0192e-05,0.192,,-1.9744e-05,nan,,-1.9744e-05,nan
-1.0190e-05,0.192,,-1.9740e-05,nan,,-1.9740e-05,nan
-1.0188e-05,0.176,,-1.9736e-05,nan,,-1.9736e-05,nan
-1.0186e-05,0.184,,-1.9732e-05,nan,,-1.9732e-05,nan
-1.0184e-05,0.184,,-1.9728e-05,nan,,-1.9728e-05,nan
-1.0182e-05,0.184,,-1.9724e-05,nan,,-1.9724e-05,nan
-1.0180e-05,0.176,,-1.9720e-05,nan,,-1.9720e-05,nan
-1.0178e-05,0.192,,-1.9716e-05,nan,,-1.9716e-05,nan
-1.0176e-05,0.184,,-1.9712e-05,nan,,-1.9712e-05,nan
-1.0174e-05,0.2,,-1.9708e-05,nan,,-1.9708e-05,nan
-1.0172e-05,0.188,,-1.9704e-05,nan,,-1.9704e-05,nan
-1.0170e-05,0.192,,-1.9700e-05,nan,,-1.9700e-05,nan
-1.0168e-05,0.192,,-1.9696e-05,nan,,-1.9696e-05,nan
-1.0166e-05,0.184,,-1.9692e-05,nan,,-1.9692e-05,nan
-1.0164e-05,0.188,,-1.9688e-05,nan,,-1.9688e-05,nan
-1.0162e-05,0.184,,-1.9684e-05,nan,,-1.9684e-05,nan
-1.0160e-05,0.196,,-1.9680e-05,nan,,-1.9680e-05,nan
-1.0158e-05,0.176,,-1.9676e-05,nan,,-1.9676e-05,nan
-1.0156e-05,0.184,,-1.9672e-05,nan,,-1.9672e-05,nan
-1.0154e-05,0.18,,-1.9668e-05,nan,,-1.9668e-05,nan
-1.0152e-05,0.184,,-1.9664e-05,nan,,-1.9664e-05,nan
-1.0150e-05,0.188,,-1.9660e-05,nan,,-1.9660e-05,nan
-1.0148e-05,0.184,,-1.9656e-05,nan,,-1.9656e-05,nan
-1.0146e-05,0.18,,-1.9652e-05,nan,,-1.9652e-05,nan
-1.0144e-05,0.184,,-1.9648e-05,nan,,-1.9648e-05,nan
